268041,1047,NIFTY 500
264969,1035,INDIA VIX
264457,1033,NIFTY 200
263945,1031,NIFTY MEDIA
263689,1030,NIFTY METAL
263433,1029,NIFTY AUTO
263177,1028,NIFTY SERV SECTOR
262921,1027,NIFTY PSU BANK
262665,1026,NIFTY PSE
262409,1025,NIFTY PHARMA
262153,1024,NIFTY MNC
261641,1022,NIFTY ENERGY
261385,1021,NIFTY INFRA
261129,1020,NIFTY REALTY
260873,1019,NIFTY MIDCAP 50
260617,1018,NIFTY 100
260105,1016,NIFTY BANK
259849,1015,NIFTY IT
257801,1007,NIFTY FIN SERVICE
257545,1006,NIFTY CONSUMPTION
256265,1001,NIFTY 50
271113,1059,NIFTY PVT BANK
270857,1058,NIFTY NEXT 50
256777,1003,NIFTY MIDCAP 100
261897,1023,NIFTY FMCG
